x,y
31.56,-23.46
40.779,-10.93
41.008,-9.5392
41.275,-9.6229
41.212,-9.4916
41.518,-3.017
39.112,-0.025804
38.588,0.12233
36.857,-0.54934
36.321,-0.29703
35.555,-0.31227
23.404,-23.736
13.814,-39.25
12.976,-39.233
3.2231,-39.902
1.6737,-39.509
2.5079,-39.439
16.074,-18.633
36.967,6.0626
32.992,4.102
33.236,5.0223
33.564,5.731
33.595,6.0066
35.036,12.615
28.551,9.3557
28.85,9.7885
-1.6089,-37.425
-4.2727,-39.696
-5.2562,-37.872
-5.0776,-36.825
-3.294,-40.027
-2.0125,-39.152
-0.76511,-37.097
-0.4163,-37.143
0.24515,-37.299
1.8347,-39.82
1.4674,-40.096
0.49116,-40.333
-0.1122,-40.126
-4.2198,-37.585
-2.195,-41.078
-2.4469,-38.459
-2.3606,-38.143
-2.2853,-38.173
-2.1194,-38.259
1.7494,-42.121
1.7327,-42.171
0.42566,-40.691
-2.4534,-41.386
-3.5989,-40.314
-4.9654,-38.567
-5.8973,-39.36
-6.3799,-39.567
-6.7531,-39.623
-7.0994,-39.63
-7.4617,-39.368
-7.8732,-39.1
-7.8393,-39.151
-7.701,-39.191
-7.7226,-39.184
-7.6909,-39.392
-7.6858,-39.549
-7.3733,-39.027
-7.253,-38.607
-7.6283,-38.249
-8.3626,-37.983
-5.4328,-29.026
0.86157,-18.218
28.57,9.6078
30.454,16.285
29.866,19.307
30.101,19.545
30.714,20.085
29.116,15.051
27.576,13.627
9.8434,-12.81
-6.7874,-25.403
-3.7184,-27.362
-3.2564,-27.144
-3.1426,-26.956
3.2816,-12.595
8.5152,6.5851
10.109,6.845
12.403,6.5551
12.244,6.3765
12.113,6.1536
12,5.8518
11.758,5.1566
9.4015,1.3705
6.438,-11.137
6.7859,-11.51
-3.8903,-15.462
6.7187,-10.874
6.4639,-9.7576
6.4023,-9.1737
14.079,2.3288
14.68,7.6058
32.564,17.255
28.446,15.54
31.387,16.803
28.394,13.658
33.359,7.1431
22.303,7.1239
17.83,3.7813
1.3484,-0.095378
-6.8232,-18.733
-7.4049,-18.972
-8.1158,-19.064
-8.1606,-17.249
-16.283,-29.669
-18.896,-30.68
-19.776,-28.186
-7.3755,-18.213
-6.8113,-18.422
-6.6173,-18.674
-6.4872,-18.68
-5.779,-18.132
-5.9204,-17.632
-6.3013,-17.437
10.096,2.9373
10.095,7.364
12.085,7.7627
12.491,11.289
14.553,14.086
13.504,7.3652
17.172,-1.0384
16.603,-2.1791
17.002,-2.2994
16.557,-1.9258
19.588,-4.4657
13.927,-11.479
10.188,-11.858
8.4346,-11.608
8.5201,-11.942
8.675,-11.856
8.8454,-11.766
9.3716,-11.713
10.038,-12.038
9.9702,-12.105
8.1408,-11.478
7.9028,-11.626
7.8836,-11.651
-1.0169,-19.135
-1.2291,-20.363
-1.5365,-20.568
-1.1012,-22.955
-1.9423,-20.768
-1.721,-20.668
-1.7236,-20.665
-1.9967,-20.568
-2.5038,-20.387
-3.0375,-19.101
26.23,5.752
26.206,5.3486
26.377,5.5282
26.643,5.6137
26.692,5.7715
26.686,5.6485
26.574,5.3167
26.289,5.2073
25.936,5.0302
13.429,-13.096
8.0053,-25.14
8.2249,-24.851
8.1828,-25.079
8.294,-25.73
9.1795,-28.147
8.9356,-27.706
8.1201,-25.32
7.7446,-24.271
7.989,-23.521
8.8411,-23.15
10.646,-18.602
16.294,-17.188
16.286,-17.083
19.872,-13.119
20.976,-13.216
18.833,-13.625
20.367,-21.431
20.237,-21.838
11.423,-20.705
8.766,-24.978
13.344,-31.479
-1.2671,-31.417
-1.3861,-31.646
-1.4315,-31.713
-1.4849,-31.78
-0.77287,-37.85
-0.50982,-37.243
-0.38135,-36.866
-0.10504,-36.761
0.058458,-36.732
0.16121,-36.665
0.22335,-36.101
-6.4361,-31.235
-5.966,-31.18
-4.9246,-29.907
-3.7506,-22.024
-3.7905,-21.976
11.893,-15.199
25.19,-3.7139
24.045,-2.2203
23.402,0.074924
28.708,1.1664
25.568,6.0294
27.647,-1.3115
23.564,-1.4173
23.164,-1.0543
10.899,-18.208
9.3547,-19.116
8.6112,-18.567
10.157,-17.641
17.774,-0.97724
24.406,1.4444
28.307,5.441
28.879,5.616
29.121,5.6496
29.15,5.6722
29.086,5.7438
29.054,5.7725
28.716,5.7853
24.083,7.9853
16.092,-6.4841
9.5665,-18.543
7.5363,-19.823
0.75616,-21.472
2.9155,-20.563
29.316,6.8937
29.408,7.0143
28.999,15.475
28.952,17.591
28.844,17.528
28.899,15.186
31.347,13.405
13.698,2.1354
-10.236,-37.547
-9.8843,-35.747
-9.9519,-35.289
-12.688,-32.673
-12.676,-32.696
-12.464,-32.7
-12.366,-32.669
-12.209,-32.841
-11.441,-35.975
-11.505,-36.303
-11.543,-36.393
-14.273,-32.513
-14.126,-32.412
-14.245,-32.812
-14.781,-35.064
-14.652,-34.914
-14.02,-33.537
-13.744,-33.319
-13.384,-33.273
-12.577,-33.287
-10.795,-35.394
-10.1,-42.096
-10.1,-42.096
-8.2692,-39.134
-8.3256,-39.154
-7.2612,-36.802
-7.8079,-36.66
-10.229,-34.523
-10.333,-34.289
-10.631,-33.934
-10.904,-33.834
-11.302,-33.755
-12.784,-33.053
-12.869,-32.999
-13.777,-33.216
-13.924,-33.16
-13.858,-32.833
-13.817,-32.575
-13.69,-32.223
-13.776,-32.001
-15.082,-31.202
-20.267,-31.594
-20.721,-31.487
-21.128,-31.54
-22.795,-32.201
-23.226,-32.442
-23.453,-32.473
-23.543,-32.482
-23.603,-32.453
-23.635,-32.408
-23.614,-32.281
-22.544,-31.066
-22.784,-31.705
-22.507,-31.655
-22.343,-31.594
-22.546,-31.548
-22.461,-31.685
-22.128,-32.419
-19.308,-33.202
-21.886,-32.217
-22.406,-33.584
-22.402,-33.408
-22.42,-33.308
-22.37,-33.342
-22.307,-33.321
-22.119,-33.101
-21.926,-32.694
-22.001,-32.174
-23.116,-29.857
-25.664,-26.024
-25.724,-25.882
-27.847,-26.286
-29.6,-20.949
-29.669,-20.74
-29.592,-20.642
-29.605,-20.613
-29.655,-20.573
-29.576,-20.523
-29.409,-20.505
-29.157,-20.536
-28.971,-20.636
-28.828,-20.631
-28.704,-20.576
-28.597,-20.498
-28.512,-20.429
-28.462,-20.367
-28.422,-20.317
-28.407,-20.279
-28.385,-20.241
-28.327,-20.185
-28.248,-20.15
-28.177,-20.04
-28.176,-19.816
-27.025,-17.295
-13.819,-15.133
-13.999,-14.876
-16.62,-13.298
-16.515,-13.361
-13.006,-12.831
-9.721,-6.7941
-2.6836,3.1301
-2.5671,5.9515
3.5553,10.091
4.8081,13.15
4.1309,10.359
1.1248,7.7104
0.81484,7.1914
-1.2276,5.9976
-7.6943,-2.595
-8.1262,-2.587
-0.55394,3.2498
-0.63258,3.8024
-0.77707,4.6558
-0.87646,3.9492
-7.7088,-2.5238
-6.8788,-17.44
-13.369,-16.47
-13.993,-15.871
-14.075,-16.42
-16.537,-20.163
-16.381,-20.332
-14.936,-24.142
-14.292,-25.202
-16.48,-18.525
-16.368,-17.701
-18.3,-28.787
-18.337,-29.013
-18.25,-29.056
-18.189,-29.027
-18.234,-28.989
-18.085,-29.027
-17.977,-29.153
-17.997,-29.303
-19.364,-32.228
-19.483,-32.33
-19.449,-32.193
-17.315,-29.377
-16.829,-29.19
-13.116,-29.248
-16.44,-29.384
-20.816,-25.016
-20.264,-24.753
-23.892,-28.156
-25.107,-27.801
-27.767,-26.97
-27.574,-26.473
-27.369,-25.882
-27.545,-25.806
-22.346,-18.051
-24.126,-11.291
-24.319,-11.009
-22.862,-5.0538
1.8476,9.8349
2.583,9.5078
12.764,23.111
12.92,23.507
12.95,23.443
12.639,23.126
12.356,22.388
12.543,21.334
3.8897,4.4624
-19.361,-6.227
-22.565,-9.4216
-23.207,-10.602
-23.063,-10.71
-21.328,-10.629
-21.539,-10.585
-21.86,-10.688
-21.503,-10.707
-18.788,-11.089
-9.5347,-4.9816
1.7807,-2.4311
14.691,9.8354
15.614,9.6343
15.545,9.7281
15.516,9.3181
15.629,9.4699
13.454,3.7247
13.877,6.9297
16.401,10.628
16.609,11.176
16.483,11.696
20.708,12.608
24.115,11.483
1.8598,4.6032
7.9573,-6.6835
8.0387,-6.9347
0.15752,-8.5842
19.056,-9.3516
-17.152,-18.773
-18.669,-20.135
-18.953,-20.093
-18.893,-20.219
-18.106,-18.216
-22.47,-17.376
-21.838,-21.944
-12.972,-35.337
-13.788,-33.238
-17.227,-19.15
-0.97591,-12.691
-0.021301,-12.854
-17.967,2.5864
-11.478,-21.04
-8.783,-25.836
-9.1925,-25.353
-9.3677,-25.031
-9.3373,-24.985
-9.257,-25.059
-9.1515,-25.504
-6.9143,-14.557
-8.3985,-25.758
-5.102,-21.119
-5.0878,-21.802
-0.40655,-13.578
0.56877,-13.199
-10.18,3.5529
-3.0733,14.667
-3.0848,23.144
-2.9153,23.218
-2.9266,23.119
-2.9299,22.903
-2.9694,22.615
-2.9128,21.845
-0.97419,21.533
1.0082,22.176
5.7717,24.766
7.8352,25.292
8.1003,26.408
9.0326,24.555
6.0351,22.923
-7.3945,20.162
-10.546,13.751
-13.373,13.381
-38.898,-8.1339
-39.061,-7.8801
-39.023,-7.793
-38.893,-7.6992
-38.725,-7.5802
-38.683,-7.6303
-38.966,-7.5836
-39.119,-7.5137
-39.168,-7.4976
-39.126,-7.5456
-38.933,-7.617
-24.618,4.7051
-9.4216,12.272
0.81232,14.005
11.304,21.935
11.173,22.363
10.652,22.341
10.511,22.144
5.7258,25.351
-7.7393,12.931
-9.3198,12.035
-24.9,-4.2296
-39.287,-8.1412
-39.821,-8.4409
-39.263,-9.9327
-39.559,-10.889
-39.922,-13.091
-39.547,-13.443
-36.911,-14.483
-36.272,-14.676
-36.251,-14.772
-36.234,-14.831
-36.203,-14.799
-36.12,-14.765
-36.116,-14.797
-35.984,-14.876
-35.896,-15.005
-36.698,-19.551
-37.021,-18.543
-40.107,-19.548
-37.185,-18.498
-36.462,-19.879
-36.427,-19.826
-36.383,-19.896
-36.146,-19.766
-35.751,-19.584
-36.192,-19.016
-36.274,-18.46
-35.394,-17.043
-35.271,-16.897
-35.187,-16.793
-35.123,-16.753
-35.075,-16.764
-34.961,-16.882
-34.661,-17.182
-32.68,-20.147
-32.109,-20.539
-27.027,-25.471
-26.533,-25.564
-26.004,-24.924
-21.311,-19.523
-17.269,-15.014
-17.007,-14.991
-2.5257,-8.1077
-2.4422,-7.6657
-2.4416,-7.6182
8.5438,6.7532
9.1837,6.8441
12.063,11.17
12.281,11.209
17.077,8.756
14.452,3.6621
12.824,2.2703
12.674,2.2842
3.1948,3.7422
12.17,2.8868
2.8549,5.1455
1.9649,4.4598
-0.32862,-22.53
-0.60677,-22.372
1.5089,3.7701
8.7953,6.7702
9.2268,16.154
10.268,17.586
10.474,17.986
10.477,18.159
10.371,18.216
10.138,18.245
9.5567,18.47
2.5814,14.422
-3.7418,12.81
-3.8172,9.6286
-19.483,-5.561
-22.014,-5.7865
-19.559,-10.035
-19.959,-5.6465
-20.079,-5.5679
-13.365,-2.5888
4.0074,11.331
8.753,18.556
10.274,19.989
10.572,20.732
13.703,23.053
10.549,20.738
10.049,20.222
10.561,21.01
4.1322,10.92
-9.8887,-2.7628
-23.961,-9.2383
-24.234,-9.5497
-24.225,-9.5809
-16.705,-19.851
-16.296,-22.228
-16.404,-22.624
-16.336,-22.571
-16.232,-22.533
-16.144,-22.499
-16.085,-22.361
-7.8265,-21.536
-7.8082,-23.299
-7.3356,-23.903
-5.4533,-25.248
-5.4828,-25.253
-7.1232,-24.952
-5.3087,-25.22
-4.9913,-25.283
-5.5167,-23.864
-1.0214,-23.141
-2.8223,-15.932
-2.5107,-9.2406
2.9133,-6.8092
10.197,9.0581
10.405,9.3799
10.457,9.4613
10.458,9.4719
10.421,9.439
10.311,9.3553
1.8018,-8.4468
-6.1607,-5.925
-13.466,-23.231
2.5844,-7.8166
17.356,3.7081
22.185,5.871
22.661,5.9675
22.073,6.5127
19.363,4.9597
23.773,4.9747
24.44,5.3014
24.504,5.8587
24.585,6.9745
23.689,11.019
23.547,11.409
23.936,11.638
-1.0386,-20.601
-5.3015,-18.507
-2.5005,-16.404
10.717,4.2826
23.271,17.336
25.145,18.427
25.447,18.71
25.317,18.613
24.991,18.061
24.517,17.164
24.698,16.853
-11.745,-21.475
-17.837,-31.444
-17.897,-31.503
-18.924,-32.078
-20.922,-32.543
-20.414,-32.546
-17.867,-33.106
-17.366,-33.219
-17.241,-33.392
-17.098,-33.422
-17.104,-33.339
-17.161,-32.984
-7.7463,-18.992
2.9557,-6.8123
13.527,6.0094
24.487,17.299
24.657,17.659
24.406,17.576
23.508,12.511
12.613,9.7
-12.49,-23.628
-17.984,-36.406
-16.626,-33.595
-15.482,-30.893
-13.539,-28.275
-12.485,-28.734
-12.057,-30.515
-12.144,-30.723
-12.401,-31.809
-12.691,-32.828
-8.1997,-21.967
-6.6264,-18.985
-0.28055,-10.531
17.776,4.1613
21.686,7.611
14.99,11.276
13.764,10.004
22.623,6.7014
14.672,9.5982
14.334,9.6308
13.926,9.9634
10.135,5.9849
10.22,6.0918
11.091,7.6993
11.613,10.066
8.0871,8.2482
8.0209,7.5123
8.2097,6.8273
3.5753,5.5283
-10.089,-3.5291
-20.819,-5.3341
-19.231,-9.8356
-19.319,-9.6492
-8.7473,-2.1043
2.9934,2.6652
5.8652,20.096
7.8536,19.151
8.0787,19.286
10.138,20.856
10.341,20.986
10.892,20.875
-0.85056,21.787
-8.4183,11.241
-27.781,-2.4849
-28.606,-12.746
-27.383,-15.772
5.3744,11.646
13.172,16.131
13.444,16.343
17.192,18.246
17.229,17.887
14.552,12.002
3.4434,-3.9737
-6.2474,-9.7411
-14.605,-17.043
-17.263,-18.816
-17.89,-18.892
-18.001,-19.015
-18.008,-18.975
-17.292,-18.559
-16.664,-13.058
-16.725,-12.721
-16.172,-13.37
-5.998,-18.031
-5.9752,-19.39
3.9648,-24.218
5.0707,-5.6391
2.9192,2.5217
6.0277,6.2547
6.5288,7.3383
6.4255,8.0374
6.3484,7.8635
3.0245,8.0015
2.3398,8.1287
-8.1219,-2.1664
-11.018,-1.6465
-14.202,-2.9146
-14.442,-2.8208
-14.712,-2.2376
-11.594,0.28103
-1.0281,3.0311
6.2399,6.2546
6.5385,6.477
8.0886,6.3614
0.28808,2.2703
-6.8173,-2.6387
-7.8284,-11.793
-8.4575,-12.006
-9.8153,-12.829
-14.141,-15.946
-18.151,-1.8087
-21.727,-15.553
-23.532,-12.551
-27.016,-4.1686
-28.24,-2.5256
-26.455,-4.0858
-26.648,-3.9281
-25.97,-4.1088
-24.137,-3.3374
-23.039,-2.2176
-20.931,-1.5468
-14.725,3.0792
